ID,Texto do aluno,Devolutiva do professor,FM01,FM02,FM03,FM04,FM05,FM06,FM07,FM08,Observações
D01,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","Seu texto apresenta uma síntese clara e organizada dos acontecimentos centrais do conto. Você utilizou conectivos como ""por isso"", ""porém"" e ""afinal"", que ajudam a construir relações entre as ideias.

Outro ponto positivo é que você mostrou compreensão da ironia presente no desfecho da narrativa: a previsão que tranquiliza Camilo não impede sua tragédia.

Para aprimorar ainda mais a resenha, tente acrescentar sua avaliação pessoal:

O final foi surpreendente?
O comportamento de Camilo foi convincente?
O conto provoca reflexão sobre superstição e destino?

Seu texto jpa demonstra domínio da sequência narrativa e boa compreensão da obra.",X,,X,,,,X,X,
D02,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"O texto precisa ser reescrito. As afirmações ficaram muito genéricas e sem justificativa. Não fica claro, por exemplo, para que servia a Casa Verde e por que o povo de Itaguaí tinha medo dela. Quem é Bacamarte? Por que a ciência dele era estranha? O que causou a revolta das pessoas?",,X,X,,,X,,,
D03,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"Aluno 8, trouxeste para o teu texto os principais acontecimentos de A Moça Tecelã e demonstra que compreendeste a história. Percebi também que identificaste a mudança vivida pela personagem ao final do conto. Para enriquecer ainda mais tua escrita, poderias explicar um pouco melhor o que pensas sobre a decisão que ela tomou. Segue te dedicando, pois estás desenvolvendo uma boa compreensão das leituras.",x,,,,,,x,x,
D04,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"A sequência narrativa não está clara. Seria bom reler o conto e anotar a sequência dos eventos. Será importante também especificar de que cartas se trata e que previsão a cartomante fez. Por fim, deixar claro o desfecho do conto.",,X,,X,,X,,,
D05,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,Sua resenha deve ter mais informações e elas devem estar conectadas. Retome as palavras que são conectores.,,X,,X,,X,,,
D06,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Aluno 5, teu texto apresenta informações importantes sobre O Alienista e mostra que compreendeste alguns aspectos da obra. Como a proposta era expressar tua opinião, procura explicar um pouco mais o que pensas sobre as atitudes de Bacamarte ou sobre a Casa Verde. Tens boas ideias e podes desenvolver melhor teus argumentos.",x,x,,x,,,x,x,
D07,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","Aluno 11, organizaste bem o teu texto, além de que apresentaste os principais acontecimentos da narrativa. Outro detalhe que percebi é que usas, de forma lógica, os conectivos, o que contribui para compreender a sequência dos fatos. Como se trata de uma resenha, poderias acrescentar uma breve opinião sobre a história ou sobre a atitude de Camilo. Parabéns pelo bom trabalho!",X,X,,X,,,X,X,
D08,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"Você identificou acontecimentos importantes da história e percebeu como os desejos da personagem influenciam a narrativa.

Uma questão interessante para refletir é:

A personagem estava realmente feliz quando teceu o marido?
Como o comportamento dele modificou sua vida?
O que a decisão final revela sobre a protagonista?

Além de resumir os acontecimentos, procure interpretar os significados da história.

Você demonstra boa compreensão do enredo. Agora pode avançar para análises mais profundas sobre os personagens e suas escolhas.",X,X,X,X,,,X,X,
D09,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"O texto precisa ser reescrito, deixando mais clara a sequência narrativa. Por que, de repente, ela desfez o marido? E seria bom rever o uso dos pronomes: eliminar quando desnecessário e substituir pelo pronome objeto quando possível.",,X,X,X,,X,,,
D10,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"Aluno 1, teu texto apresenta os principais acontecimentos da história e mostra que compreendeste o desfecho de A Cartomante. Entretanto, destaco que por ser uma resenha, deverias acrescentar tua opinião sobre a narrativa, os personagens ou a surpresa do final. Um outro detalhe para enriquecer o teu texto é referente à variação de algumas palavras para evitar repetir muitas vezes ""a cartomante"". Continue se dedicando, pois já demonstraste compreender a história.",X,X,,X,,,X,X,
D11,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Você destacou elementos importantes da obra, como a Casa Verde, o medo da população e os estudos de Simão Bacamarte. Isso mostra boa compreensão da narrativa.

Como o texto apresenta uma opinião, seria interessante explicar melhor seus pontos de vista.

Perguntas que podem ajudar:

Por que a Casa Verde foi importante?
O que você achou das atitudes de Bacamarte?
Você concorda com a forma como ele tratava as pessoas?

Além disso, procure desenvolver mais cada ideia, acrescentando justificativas e exemplos.

Seu texto já apresenta observações relevantes. Agora procure aprofundar suas análises.",X,X,X,X,,,X,X,
D12,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"Seu texto está muito bom. Suas frases são bem construídas, sem repetição de termos ou confusas.",X,,,,,,,,
D13,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Você apresentou ótimos fatos e argumentos da obra ""O Alienista"", mas temos de melhorar o texto, para que ele não seja simplesmente tópicos mas um texto corrido, para isso o desafio é conseguir conectar as ideias trazidas pelas frases. Por exemplo: ""A Casa Verde, que foi muito grande, foi importante."" Tente unir as frases.",X,X,,X,X,X,,,
D14,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","Seu texto está muito bem estruturado, tem boa sequência lógica e de acordo com a história. Tuas frases são completas. Bom uso de conectores e pontuação",X,,,,,,,,
D15,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"Você conseguiu fazer uma excelente síntese do conto ""A Moça Tecelã"". Na frase ""Aí ela desfez ele e ela ficou livre"" a repetição de ""ele"" e ""ela"", além disso, na escrita formal não usamos Ai para iniciar frases. Que subsituições deríamos fazer nesses casos?",X,X,X,,,,,,
D16,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"Parabéns! Você identificou um dos acontecimentos mais importantes do conto: a confiança de Camilo nas palavras da cartomante e o desfecho inesperado da história. Seu texto apresenta os fatos em sequência, o que ajuda o leitor a compreender o enredo.

Percebi, porém, que a expressão ""A cartomante"" aparece muitas vezes. Na revisão, você pode substituir algumas repetições por palavras como ""ela"", ""a vidente"" ou ""a personagem"".

Como se trata de uma resenha, tente incluir também sua opinião sobre a obra. Por exemplo:

O final surpreendeu você?
A atitude de Camilo foi prudente?
O conto continua interessante para leitores de hoje?

Desafio para a reescrita: acrescentar uma frase avaliando a história e utilizar menos repetições.

Você demonstrou boa compreensão do enredo, agora é hora de aprofundar sua análise e tornar a escrita mais elaborada.",X,X,X,X,,X,X,X,
D17,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","Teria sido bom especificar de que tratavam os bilhetes anônimos. De outra forma, o leitor fica sem saber por que a previsão não tinha se concretizado.",,X,,X,,X,,,
D18,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"Você pode desenvolver melhor sua resenha. Desenvolva mais suas frases, observe o uso da linguagem mais formal, evite a repetição de termos.",,X,,X,,X,X,,
D19,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"Você entendeu muito bem o que aconteceu no conto e escreveu isso apresentando os acontecimentos numa ordem correta. Sugiro que você repare na repetição da palavra ""cartomante"", como ela aparece muitas vezes a leitura fica repetitiva. Sugiro, para evitar essa repetição, usar o nome da cartomante, ou usar ""ela"" ou ""a mulher"". Você pode também juntar frases usando palavras como ""que"", ""além disso"" ou ""também"". Vamos reescrever esse trecho a partir dessas dicas?!",X,X,,X,,X,,,
D20,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","Uau! Sua escrita está excelente. Você conseguiu usar muito bem os conectivos (""por isso"", ""porém"", ""afinal""), o vocabulário foi rico, além disso, você conseguiu trazer a ironia e o suspense que são características de Machado de Assis. O texto escrito tem coesão e fluidez.",X,,,,,,,,